iter	Passed	Remaining
0	2	2210
1	4	2044
2	7	2613
3	9	2439
4	11	2290
5	13	2187
6	14	2102
7	16	2058
8	18	2031
9	20	2059
10	23	2108
11	25	2065
12	26	2046
13	29	2052
14	31	2051
15	33	2089
16	35	2078
17	37	2061
18	39	2041
19	41	2026
20	43	2016
21	45	2001
22	46	1991
23	48	1988
24	50	1981
25	52	1976
26	54	1971
27	56	1969
28	58	1953
29	60	1945
30	61	1937
31	63	1929
32	65	1929
33	67	1918
34	69	1913
35	71	1904
36	72	1894
37	74	1891
38	76	1885
39	78	1882
40	80	1877
41	81	1869
42	83	1861
43	85	1852
44	87	1847
45	88	1844
46	90	1836
47	92	1835
48	94	1837
49	96	1833
50	98	1831
51	100	1829
52	102	1827
53	103	1821
54	105	1816
55	107	1812
56	109	1811
57	111	1806
58	112	1798
59	114	1797
60	116	1799
61	118	1794
62	120	1795
63	123	1800
64	125	1800
65	126	1797
66	128	1794
67	130	1791
68	133	1805
69	136	1810
70	138	1811
71	140	1807
72	142	1808
73	144	1807
74	146	1802
75	147	1798
76	149	1795
77	160	1895
78	162	1893
79	164	1889
80	166	1884
81	168	1882
82	169	1868
83	170	1863
84	172	1861
85	174	1857
86	176	1852
87	178	1851
88	181	1853
89	183	1852
90	185	1848
91	186	1845
92	188	1841
93	190	1836
94	192	1835
95	194	1832
96	196	1830
97	198	1826
98	200	1821
99	202	1819
100	203	1814
101	205	1808
102	207	1803
103	208	1800
104	210	1797
105	212	1794
106	214	1790
107	216	1786
108	217	1781
109	219	1779
110	221	1777
111	223	1773
112	225	1768
113	227	1766
114	229	1763
115	230	1758
116	232	1752
117	233	1748
118	235	1744
119	237	1739
120	238	1735
121	240	1728
122	242	1727
123	244	1724
124	245	1721
125	247	1717
126	249	1714
127	251	1711
128	253	1708
129	254	1706
130	257	1706
131	259	1703
132	260	1700
133	262	1699
134	265	1698
135	267	1697
136	269	1696
137	272	1699
138	274	1697
139	276	1695
140	277	1692
141	279	1686
142	281	1684
143	282	1680
144	284	1679
145	286	1677
146	288	1674
147	290	1672
148	292	1669
149	294	1666
150	296	1665
151	298	1663
152	299	1660
153	301	1657
154	303	1654
155	305	1650
156	307	1648
157	308	1645
158	310	1643
159	312	1640
160	313	1635
161	315	1633
162	317	1630
163	319	1627
164	321	1625
165	323	1624
166	325	1621
167	326	1618
168	328	1616
169	330	1614
170	332	1611
171	334	1609
172	336	1606
173	337	1604
174	339	1601
175	341	1598
176	343	1597
177	345	1595
178	347	1593
179	349	1594
180	352	1593
181	354	1592
182	356	1591
183	358	1589
184	360	1587
185	362	1584
186	364	1584
187	366	1582
188	368	1579
189	370	1577
190	371	1575
191	374	1575
192	376	1572
193	378	1570
194	379	1567
195	381	1565
196	383	1562
197	385	1560
198	387	1558
199	388	1554
200	390	1552
201	392	1549
202	394	1547
203	395	1544
204	397	1541
205	398	1537
206	400	1535
207	402	1533
208	404	1531
209	406	1528
210	408	1526
211	409	1523
212	411	1521
213	413	1517
214	414	1514
215	417	1513
216	418	1511
217	420	1507
218	422	1505
219	423	1502
220	425	1500
221	427	1497
222	429	1495
223	431	1494
224	433	1492
225	435	1490
226	436	1487
227	438	1485
228	440	1483
229	442	1480
230	444	1478
231	447	1479
232	449	1479
233	451	1477
234	453	1476
235	455	1475
236	457	1473
237	460	1473
238	462	1471
239	464	1471
240	467	1471
241	469	1471
242	472	1471
243	474	1470
244	476	1469
245	478	1468
246	481	1468
247	483	1466
248	485	1464
249	488	1464
250	490	1463
251	492	1462
252	495	1462
253	497	1461
254	500	1461
255	502	1460
256	505	1460
257	507	1459
258	510	1461
259	512	1459
260	515	1458
261	517	1458
262	520	1458
263	522	1457
264	525	1458
265	530	1463
266	533	1464
267	536	1464
268	538	1463
269	541	1463
270	543	1463
271	546	1462
272	550	1465
273	553	1465
274	556	1466
275	558	1466
276	562	1466
277	565	1469
278	569	1471
279	573	1475
280	576	1475
281	579	1475
282	582	1474
283	586	1478
284	588	1476
285	590	1474
286	592	1472
